"ZIP
code [1]",Size of adjusted gross income,Adjusted gross income (AGI) [5]
,,
,,(17)
12154,"$1 under $25,000",4463
12154,"$25,000 under $50,000",12390
12154,"$50,000 under $75,000",15671
12154,"$75,000 under $100,000",14820
12154,"$100,000 under $200,000",36935
12154,"$200,000 or more",13105
,,
12155,,"36,694"
12155,"$1 under $25,000",3471
12155,"$25,000 under $50,000",7981
12155,"$50,000 under $75,000",7698
12155,"$75,000 under $100,000",7055
12155,"$100,000 under $200,000",10489
12155,"$200,000 or more",** 
,,
12156,,"29,759"
12156,"$1 under $25,000",1239
12156,"$25,000 under $50,000",3622
12156,"$50,000 under $75,000",4635
12156,"$75,000 under $100,000",5023
12156,"$100,000 under $200,000",15240
12156,"$200,000 or more",** 
,,
12157,,"113,715"
12157,"$1 under $25,000",7062
12157,"$25,000 under $50,000",16517
12157,"$50,000 under $75,000",20176
12157,"$75,000 under $100,000",17444
12157,"$100,000 under $200,000",39234
12157,"$200,000 or more",13282
,,
12158,,"241,018"
12158,"$1 under $25,000",10114
12158,"$25,000 under $50,000",25591
12158,"$50,000 under $75,000",32968
12158,"$75,000 under $100,000",33914
12158,"$100,000 under $200,000",86627
12158,"$200,000 or more",51804
,,
12159,,"616,470"
12159,"$1 under $25,000",10684
12159,"$25,000 under $50,000",21601
12159,"$50,000 under $75,000",34846
12159,"$75,000 under $100,000",34891
12159,"$100,000 under $200,000",153782
12159,"$200,000 or more",360666
,,
12160,,"24,028"
12160,"$1 under $25,000",1648
12160,"$25,000 under $50,000",3639
12160,"$50,000 under $75,000",4930
12160,"$75,000 under $100,000",3984
12160,"$100,000 under $200,000",9827
12160,"$200,000 or more",** 
,,
12164,,"16,480"
12164,"$1 under $25,000",1203
12164,"$25,000 under $50,000",2386
12164,"$50,000 under $75,000",2456
12164,"$75,000 under $100,000",2468
12164,"$100,000 under $200,000",7967
12164,"$200,000 or more",** 
,,
12165,,"25,338"
12165,"$1 under $25,000",541
12165,"$25,000 under $50,000",1322
12165,"$50,000 under $75,000",1465
12165,"$75,000 under $100,000",2041
12165,"$100,000 under $200,000",6175
12165,"$200,000 or more",13794
,,
12166,,"31,063"
12166,"$1 under $25,000",2668
12166,"$25,000 under $50,000",7023
12166,"$50,000 under $75,000",7835
12166,"$75,000 under $100,000",5354
12166,"$100,000 under $200,000",8183
12166,"$200,000 or more",** 
,,
12167,,"53,362"
12167,"$1 under $25,000",5332
12167,"$25,000 under $50,000",10216
12167,"$50,000 under $75,000",10243
12167,"$75,000 under $100,000",8896
12167,"$100,000 under $200,000",18675
12167,"$200,000 or more",** 
,,
12168,,"51,856"
12168,"$1 under $25,000",3770
12168,"$25,000 under $50,000",7681
12168,"$50,000 under $75,000",9053
12168,"$75,000 under $100,000",8049
12168,"$100,000 under $200,000",16371
12168,"$200,000 or more",6932
,,
12169,,"11,304"
12169,"$1 under $25,000",535
12169,"$25,000 under $50,000",1646
12169,"$50,000 under $75,000",1219
12169,"$75,000 under $100,000",1863
12169,"$100,000 under $200,000",6041
12169,"$200,000 or more",** 
,,
12170,,"173,969"
12170,"$1 under $25,000",9348
12170,"$25,000 under $50,000",22216
12170,"$50,000 under $75,000",24645
12170,"$75,000 under $100,000",26453
12170,"$100,000 under $200,000",57904
12170,"$200,000 or more",33403
,,
12173,,"44,696"
12173,"$1 under $25,000",3081
12173,"$25,000 under $50,000",6763
12173,"$50,000 under $75,000",9105
12173,"$75,000 under $100,000",8321
12173,"$100,000 under $200,000",17426
12173,"$200,000 or more",** 
,,
12175,,"18,044"
12175,"$1 under $25,000",1301
12175,"$25,000 under $50,000",3374
12175,"$50,000 under $75,000",3412
12175,"$75,000 under $100,000",4101
12175,"$100,000 under $200,000",5856
12175,"$200,000 or more",** 
,,
12176,,"8,499"
12176,"$1 under $25,000",424
12176,"$25,000 under $50,000",916
12176,"$50,000 under $75,000",2708
12176,"$75,000 under $100,000",** 
12176,"$100,000 under $200,000",4451
12176,"$200,000 or more",** 
,,
12180,,"1,275,768"
12180,"$1 under $25,000",107501
12180,"$25,000 under $50,000",234172
12180,"$50,000 under $75,000",219682
12180,"$75,000 under $100,000",181497
12180,"$100,000 under $200,000",369538
12180,"$200,000 or more",163378
,,
12182,,"354,336"
12182,"$1 under $25,000",34623
12182,"$25,000 under $50,000",74666
12182,"$50,000 under $75,000",62555
12182,"$75,000 under $100,000",57037
12182,"$100,000 under $200,000",95765
12182,"$200,000 or more",29690
,,
12183,,"58,014"
12183,"$1 under $25,000",6670
12183,"$25,000 under $50,000",17138
12183,"$50,000 under $75,000",13212
12183,"$75,000 under $100,000",9209
12183,"$100,000 under $200,000",11785
12183,"$200,000 or more",** 
,,
12184,,"258,469"
12184,"$1 under $25,000",12674
12184,"$25,000 under $50,000",24380
12184,"$50,000 under $75,000",29670
12184,"$75,000 under $100,000",34726
12184,"$100,000 under $200,000",85963
12184,"$200,000 or more",71056
,,
12185,,"62,826"
12185,"$1 under $25,000",3342
12185,"$25,000 under $50,000",8994
12185,"$50,000 under $75,000",10074
12185,"$75,000 under $100,000",9162
12185,"$100,000 under $200,000",21304
12185,"$200,000 or more",9950
,,
12186,,"340,613"
12186,"$1 under $25,000",8478
12186,"$25,000 under $50,000",24362
12186,"$50,000 under $75,000",28950
12186,"$75,000 under $100,000",33207
12186,"$100,000 under $200,000",117975
12186,"$200,000 or more",127641
,,
12187,,"19,874"
12187,"$1 under $25,000",1675
12187,"$25,000 under $50,000",3818
12187,"$50,000 under $75,000",3403
12187,"$75,000 under $100,000",2469
12187,"$100,000 under $200,000",8509
12187,"$200,000 or more",** 
,,
12188,,"389,234"
12188,"$1 under $25,000",19814
12188,"$25,000 under $50,000",54961
12188,"$50,000 under $75,000",60955
12188,"$75,000 under $100,000",59625
12188,"$100,000 under $200,000",133021
12188,"$200,000 or more",60858
,,
12189,,"522,754"
12189,"$1 under $25,000",39069
12189,"$25,000 under $50,000",103437
12189,"$50,000 under $75,000",90770
12189,"$75,000 under $100,000",64776
12189,"$100,000 under $200,000",137956
12189,"$200,000 or more",86746
,,
12190,,"19,312"
12190,"$1 under $25,000",1491
12190,"$25,000 under $50,000",3754
12190,"$50,000 under $75,000",3577
12190,"$75,000 under $100,000",3796
12190,"$100,000 under $200,000",6694
12190,"$200,000 or more",** 
,,
12192,,"41,876"
12192,"$1 under $25,000",3324
12192,"$25,000 under $50,000",7519
12192,"$50,000 under $75,000",6977
12192,"$75,000 under $100,000",6718
12192,"$100,000 under $200,000",17338
12192,"$200,000 or more",** 
,,
12193,,"68,069"
12193,"$1 under $25,000",3580
12193,"$25,000 under $50,000",9538
12193,"$50,000 under $75,000",11002
12193,"$75,000 under $100,000",12303
12193,"$100,000 under $200,000",21800
12193,"$200,000 or more",9846
,,
12194,,"5,694"
12194,"$1 under $25,000",311
12194,"$25,000 under $50,000",2417
12194,"$50,000 under $75,000",** 
12194,"$75,000 under $100,000",** 
12194,"$100,000 under $200,000",2966
12194,"$200,000 or more",** 
,,
12196,,"123,227"
12196,"$1 under $25,000",4530
12196,"$25,000 under $50,000",11046
12196,"$50,000 under $75,000",13908
12196,"$75,000 under $100,000",16045
12196,"$100,000 under $200,000",50588
12196,"$200,000 or more",27110
,,
12197,,"51,336"
12197,"$1 under $25,000",4112
12197,"$25,000 under $50,000",9910
12197,"$50,000 under $75,000",9750
12197,"$75,000 under $100,000",8845
12197,"$100,000 under $200,000",18719
12197,"$200,000 or more",** 
,,
12198,,"304,563"
12198,"$1 under $25,000",12619
12198,"$25,000 under $50,000",30474
12198,"$50,000 under $75,000",43960
12198,"$75,000 under $100,000",43728
12198,"$100,000 under $200,000",108797
12198,"$200,000 or more",64985
,,
12202,,"129,761"
12202,"$1 under $25,000",30078
12202,"$25,000 under $50,000",48635
12202,"$50,000 under $75,000",23798
12202,"$75,000 under $100,000",12309
12202,"$100,000 under $200,000",14941
12202,"$200,000 or more",** 
,,
12203,,"1,061,756"
12203,"$1 under $25,000",47346
12203,"$25,000 under $50,000",122457
12203,"$50,000 under $75,000",146014
12203,"$75,000 under $100,000",126475
12203,"$100,000 under $200,000",291656
12203,"$200,000 or more",327808
,,
12204,,"284,254"
12204,"$1 under $25,000",14035
12204,"$25,000 under $50,000",42685
12204,"$50,000 under $75,000",42774
12204,"$75,000 under $100,000",31411
12204,"$100,000 under $200,000",54283
12204,"$200,000 or more",99066
,,
12205,,"868,857"
12205,"$1 under $25,000",52633
12205,"$25,000 under $50,000",142310
12205,"$50,000 under $75,000",168510
12205,"$75,000 under $100,000",154715
12205,"$100,000 under $200,000",277029
12205,"$200,000 or more",73660
,,
12206,,"232,841"
12206,"$1 under $25,000",47861
12206,"$25,000 under $50,000",70337
12206,"$50,000 under $75,000",40241
12206,"$75,000 under $100,000",23587
12206,"$100,000 under $200,000",39258
12206,"$200,000 or more",11557
,,
12207,,"39,102"
12207,"$1 under $25,000",4840
12207,"$25,000 under $50,000",8645
12207,"$50,000 under $75,000",9542
12207,"$75,000 under $100,000",5048
12207,"$100,000 under $200,000",11027
12207,"$200,000 or more",** 
,,
12208,,"627,252"
12208,"$1 under $25,000",38804
12208,"$25,000 under $50,000",98247
12208,"$50,000 under $75,000",105453
12208,"$75,000 under $100,000",87142
12208,"$100,000 under $200,000",193796
12208,"$200,000 or more",103810
,,
12209,,"250,957"
12209,"$1 under $25,000",23549
12209,"$25,000 under $50,000",60369
12209,"$50,000 under $75,000",54719
12209,"$75,000 under $100,000",41121
12209,"$100,000 under $200,000",56128
12209,"$200,000 or more",15071
,,
12210,,"203,657"
12210,"$1 under $25,000",26635
12210,"$25,000 under $50,000",55101
12210,"$50,000 under $75,000",39065
12210,"$75,000 under $100,000",23552
12210,"$100,000 under $200,000",34116
12210,"$200,000 or more",25188
,,
12211,,"827,003"
12211,"$1 under $25,000",15082
12211,"$25,000 under $50,000",34923
12211,"$50,000 under $75,000",51962
12211,"$75,000 under $100,000",60001
12211,"$100,000 under $200,000",189032
12211,"$200,000 or more",476003
,,
12302,,"994,443"
12302,"$1 under $25,000",46363
12302,"$25,000 under $50,000",114886
12302,"$50,000 under $75,000",145170
12302,"$75,000 under $100,000",148473
12302,"$100,000 under $200,000",390927
12302,"$200,000 or more",148624
,,
12303,,"977,360"
12303,"$1 under $25,000",62899
12303,"$25,000 under $50,000",132182
12303,"$50,000 under $75,000",130293
12303,"$75,000 under $100,000",131630
12303,"$100,000 under $200,000",311658
12303,"$200,000 or more",208698
,,
12304,,"468,443"
12304,"$1 under $25,000",54440
12304,"$25,000 under $50,000",108221
12304,"$50,000 under $75,000",92150
12304,"$75,000 under $100,000",69253
12304,"$100,000 under $200,000",116773
12304,"$200,000 or more",27606
,,
12305,,"90,783"
12305,"$1 under $25,000",11506
12305,"$25,000 under $50,000",23622
12305,"$50,000 under $75,000",18634
12305,"$75,000 under $100,000",8643
12305,"$100,000 under $200,000",15962
12305,"$200,000 or more",12416
,,
12306,,"821,972"
12306,"$1 under $25,000",54597
12306,"$25,000 under $50,000",138597
12306,"$50,000 under $75,000",145121
12306,"$75,000 under $100,000",128548
12306,"$100,000 under $200,000",262923
12306,"$200,000 or more",92186
,,
12307,,"69,414"
12307,"$1 under $25,000",23646
12307,"$25,000 under $50,000",29048
12307,"$50,000 under $75,000",10268
12307,"$75,000 under $100,000",3979
12307,"$100,000 under $200,000",2473
12307,"$200,000 or more",** 
,,
12308,,"274,327"
12308,"$1 under $25,000",35491
12308,"$25,000 under $50,000",68473
12308,"$50,000 under $75,000",50965
12308,"$75,000 under $100,000",38063
12308,"$100,000 under $200,000",54625
12308,"$200,000 or more",26710
,,
12309,,"1,568,765"
12309,"$1 under $25,000",39707
12309,"$25,000 under $50,000",94903
12309,"$50,000 under $75,000",138929
12309,"$75,000 under $100,000",157109
12309,"$100,000 under $200,000",538973
12309,"$200,000 or more",599144
,,
12401,,"904,045"
12401,"$1 under $25,000",78578
12401,"$25,000 under $50,000",157718
12401,"$50,000 under $75,000",139471
12401,"$75,000 under $100,000",126803
12401,"$100,000 under $200,000",243035
12401,"$200,000 or more",158440
,,
12404,,"126,861"
12404,"$1 under $25,000",6923
12404,"$25,000 under $50,000",12974
12404,"$50,000 under $75,000",14072
12404,"$75,000 under $100,000",13955
12404,"$100,000 under $200,000",36035
12404,"$200,000 or more",42902
,,
12405,,"15,793"
12405,"$1 under $25,000",1355
12405,"$25,000 under $50,000",3216
12405,"$50,000 under $75,000",2728
12405,"$75,000 under $100,000",2913
12405,"$100,000 under $200,000",5581
12405,"$200,000 or more",** 
,,
12406,,"13,598"
12406,"$1 under $25,000",1745
12406,"$25,000 under $50,000",2862
12406,"$50,000 under $75,000",3791
12406,"$75,000 under $100,000",** 
12406,"$100,000 under $200,000",5200
12406,"$200,000 or more",** 
,,
12407,,"5,688"
12407,"$1 under $25,000",584
12407,"$25,000 under $50,000",1154
12407,"$50,000 under $75,000",1352
12407,"$75,000 under $100,000",2598
12407,"$100,000 under $200,000",** 
12407,"$200,000 or more",** 
,,
12409,,"51,924"
12409,"$1 under $25,000",1896
12409,"$25,000 under $50,000",3159
12409,"$50,000 under $75,000",4051
12409,"$75,000 under $100,000",3609
12409,"$100,000 under $200,000",10250
12409,"$200,000 or more",28959
,,
12410,,"9,595"
12410,"$1 under $25,000",664
12410,"$25,000 under $50,000",939
12410,"$50,000 under $75,000",3258
12410,"$75,000 under $100,000",** 
12410,"$100,000 under $200,000",4734
12410,"$200,000 or more",** 
,,
12411,,"15,289"
12411,"$1 under $25,000",906
12411,"$25,000 under $50,000",2603
12411,"$50,000 under $75,000",2560
12411,"$75,000 under $100,000",3479
12411,"$100,000 under $200,000",5741
12411,"$200,000 or more",** 
,,
12412,,"19,983"
12412,"$1 under $25,000",1380
12412,"$25,000 under $50,000",2638
12412,"$50,000 under $75,000",3274
12412,"$75,000 under $100,000",2575
12412,"$100,000 under $200,000",10116
12412,"$200,000 or more",** 
,,
12413,,"67,436"
12413,"$1 under $25,000",7381
12413,"$25,000 under $50,000",15044
12413,"$50,000 under $75,000",13683
12413,"$75,000 under $100,000",10376
12413,"$100,000 under $200,000",20952
12413,"$200,000 or more",** 
,,
12414,,"250,819"
12414,"$1 under $25,000",21521
12414,"$25,000 under $50,000",44889
12414,"$50,000 under $75,000",43238
12414,"$75,000 under $100,000",35694
12414,"$100,000 under $200,000",70780
12414,"$200,000 or more",34697
,,
12416,,"4,641"
12416,"$1 under $25,000",505
12416,"$25,000 under $50,000",980
12416,"$50,000 under $75,000",3156
12416,"$75,000 under $100,000",** 
12416,"$100,000 under $200,000",** 
12416,"$200,000 or more",** 
,,
12418,,"13,752"
12418,"$1 under $25,000",1163
12418,"$25,000 under $50,000",2318
12418,"$50,000 under $75,000",4606
12418,"$75,000 under $100,000",** 
12418,"$100,000 under $200,000",5665
12418,"$200,000 or more",** 
,,
12419,,"24,021"
12419,"$1 under $25,000",1126
12419,"$25,000 under $50,000",2901
12419,"$50,000 under $75,000",2465
12419,"$75,000 under $100,000",3788
12419,"$100,000 under $200,000",13741
12419,"$200,000 or more",** 
,,
12421,,"11,616"
12421,"$1 under $25,000",654
12421,"$25,000 under $50,000",1180
12421,"$50,000 under $75,000",3229
12421,"$75,000 under $100,000",** 
12421,"$100,000 under $200,000",6553
12421,"$200,000 or more",** 
,,
12422,,"7,136"
12422,"$1 under $25,000",576
12422,"$25,000 under $50,000",894
12422,"$50,000 under $75,000",2941
12422,"$75,000 under $100,000",** 
12422,"$100,000 under $200,000",2725
12422,"$200,000 or more",** 
,,
12423,,"25,012"
12423,"$1 under $25,000",2434
12423,"$25,000 under $50,000",3994
12423,"$50,000 under $75,000",4540
12423,"$75,000 under $100,000",3718
12423,"$100,000 under $200,000",10326
12423,"$200,000 or more",** 
,,
12424,,"5,889"
12424,"$1 under $25,000",385
12424,"$25,000 under $50,000",1679
12424,"$50,000 under $75,000",** 
12424,"$75,000 under $100,000",3825
12424,"$100,000 under $200,000",** 
12424,"$200,000 or more",** 
,,
12427,,"12,318"
12427,"$1 under $25,000",1276
12427,"$25,000 under $50,000",1619
12427,"$50,000 under $75,000",2646
12427,"$75,000 under $100,000",6777
12427,"$100,000 under $200,000",** 
12427,"$200,000 or more",** 
,,
12428,,"121,144"
12428,"$1 under $25,000",14142
12428,"$25,000 under $50,000",22465
12428,"$50,000 under $75,000",21921
12428,"$75,000 under $100,000",18209
12428,"$100,000 under $200,000",34486
12428,"$200,000 or more",9921
,,
12430,,"25,298"
12430,"$1 under $25,000",2236
12430,"$25,000 under $50,000",3754
12430,"$50,000 under $75,000",4083
12430,"$75,000 under $100,000",3268
12430,"$100,000 under $200,000",11957
12430,"$200,000 or more",** 
,,
12431,,"40,891"
12431,"$1 under $25,000",2743
